,Unnamed: 0,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
1,1,1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False
3,3,1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False
6,6,0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True
10,10,1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False
11,11,1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True
21,21,1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True
23,23,1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True
27,27,0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False
52,52,1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False
54,54,0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False
62,62,0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False
66,66,1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True
75,75,0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True
88,88,1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False
92,92,0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False
96,96,0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True
97,97,1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False
102,102,0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False
110,110,0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True
118,118,0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False
123,123,1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True
124,124,0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False
136,136,1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False
137,137,0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False
139,139,0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True
148,148,0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False
151,151,1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False
170,170,0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True
174,174,0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True
177,177,0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True
183,183,1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False
193,193,1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False
194,194,1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True
195,195,1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True
205,205,0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False
209,209,1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True
215,215,1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False
218,218,1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True
224,224,1,1,male,38.0,1,0,90.0,S,First,man,True,C,Southampton,yes,False
230,230,1,1,female,35.0,1,0,83.475,S,First,woman,False,C,Southampton,yes,False
